X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
3,5,1,2,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0
4,5,11,6,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0
3,4,1,4,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0
6,5,3,5,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0
4,4,1,5,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0
2,2,3,1,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0
6,5,3,1,84.1,4.6,46.7,2.2,5.3,68,1.8,0.0
1,2,1,0,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0
1,4,11,2,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0
8,5,11,3,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0
6,5,11,0,92.5,122.0,789.7,10.2,18.4,42,2.2,0.0
3,4,1,5,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0
8,6,1,0,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0
5,4,1,0,91.0,166.9,752.6,7.1,21.1,71,7.6,1.4
4,3,5,4,93.2,114.4,560.0,9.5,30.2,22,4.9,0.0
1,3,11,0,91.1,91.3,738.1,7.2,19.1,46,2.2,0.0
7,4,11,2,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0
4,3,11,1,91.6,108.4,764.0,6.2,9.8,86,1.8,0.0
9,4,6,2,90.5,61.1,252.6,9.4,24.5,50,3.1,0.0
3,4,1,3,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0
5,4,11,0,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0
6,4,7,6,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0
4,4,5,5,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0
4,6,2,3,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0
2,4,1,6,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0
