book_id,title,image_url,authors
2767052,"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603m/2767052.jpg,Suzanne Collins
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022m/3.jpg,"J.K. Rowling, Mary GrandPré"
41865,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443m/41865.jpg,Stephenie Meyer
2657,To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg,Harper Lee
4671,The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg,F. Scott Fitzgerald
11870085,The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg,John Green
5907,The Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg,J.R.R. Tolkien
5107,The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg,J.D. Salinger
960,"Angels & Demons  (Robert Langdon, #1)",https://images.gr-assets.com/books/1303390735m/960.jpg,Dan Brown
1885,Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg,Jane Austen
77203,The Kite Runner,https://images.gr-assets.com/books/1484565687m/77203.jpg,Khaled Hosseini
13335037,"Divergent (Divergent, #1)",https://images.gr-assets.com/books/1328559506m/13335037.jpg,Veronica Roth
5470,1984,https://images.gr-assets.com/books/1348990566m/5470.jpg,"George Orwell, Erich Fromm, Celâl Üster"
7613,Animal Farm,https://images.gr-assets.com/books/1424037542m/7613.jpg,George Orwell
48855,The Diary of a Young Girl,https://images.gr-assets.com/books/1358276407m/48855.jpg,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday"
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",https://images.gr-assets.com/books/1327868566m/2429135.jpg,"Stieg Larsson, Reg Keeland"
6148028,"Catching Fire (The Hunger Games, #2)",https://images.gr-assets.com/books/1358273780m/6148028.jpg,Suzanne Collins
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281m/5.jpg,"J.K. Rowling, Mary GrandPré, Rufus Beck"
